ids,labels,parents,nums,dens
drake,drake,,1413,6243
drake/common,common,drake,159,1316
drake/common/trajectories,trajectories,drake/common,32,85
drake/geometry,geometry,drake,95,443
drake/geometry/query_results,query_results,drake/geometry,23,46
drake/geometry/render,render,drake/geometry,16,52
drake/lcm,lcm,drake,9,41
drake/manipulation,manipulation,drake,28,202
drake/manipulation/planner,planner,drake/manipulation,28,47
drake/math,math,drake,93,230
drake/multibody,multibody,drake,265,957
drake/multibody/benchmarks,benchmarks,drake/multibody,2,75
drake/multibody/benchmarks/acrobot,acrobot,drake/multibody/benchmarks,2,34
drake/multibody/inverse_kinematics,inverse_kinematics,drake/multibody,23,29
drake/multibody/math,math,drake/multibody,17,67
drake/multibody/parsing,parsing,drake/multibody,14,15
drake/multibody/plant,plant,drake/multibody,134,249
drake/multibody/tree,tree,drake/multibody,75,343
drake/perception,perception,drake,38,74
drake/solvers,solvers,drake,215,683
drake/systems,systems,drake,511,2297
drake/systems/analysis,analysis,drake/systems,32,281
drake/systems/controllers,controllers,drake/systems,25,329
drake/systems/framework,framework,drake/systems,254,1091
drake/systems/lcm,lcm,drake/systems,8,43
drake/systems/primitives,primitives,drake/systems,78,220
drake/systems/rendering,rendering,drake/systems,36,54
drake/systems/sensors,sensors,drake/systems,38,164
drake/systems/trajectory_optimization,trajectory_optimization,drake/systems,40,65
